inner_code;name;name_eng;adm_code;iata;icao
АБА;Абаза;Abaza;ХЯ; ; 
АБН;Абакан;Abakan;ХЯ;ABA;UNAA
АБК;Абакан [агентство 01АБК]; ; ; ; 
АББ;Абан; ;КЯ; ;УНЯА
АБТ;Абатское; ;ТЮ; ; 
АБД;Абдулино; ;ОБ; ; 
АГВ;Агвали; ;ДГ; ; 
АЗУ;Агзу; ;ПР; ; 
АГИ;Агинское; ;КЯ; ; 
АГЗ;Агрыз; ;ТГ; ; 
АДМ;Адамовка; ;ОБ; ; 
АДЗ;Адзьвавом; ;КИ; ; 
АЙД;Айдара; ;КЯ; ;UNIA
АЙО;Айон; ;ЧА; ; 
АХЛ;Айхал; ;СФ; ;UERA
АСЬ;Акись; ;КИ; ; 
АСЗ;Аксарка; ;ТЮ; ; 
АКЭ;Аксеново; ;КЯ; ;UNHA
АСБ;Аксубаево; ;ТГ; ; 
АКШ;Актаныш; ;ТГ; ; 
АТШ;Акташ; ;АЙ; ; 
АКЯ;Акъяр; ;БШ; ;UWOA
АПТ;Алапаевск; ;СД; ; 
АЛЫ;Алатырь; ;ЧУ; ; 
АЛД;Алдан;Aldan;СФ;ADH;UEEA
АЛЙ;Александров Гай; ;СГ; ; 
АЛР;Александровка [ПРУ]; ; ; ; 
АЕД;Александровка [ЮРУ]; ;ВГ; ; 
АКЗ;Александровский Завод; ;ЧТ; ; 
АЛШ;Александровский Шлюз; ;КЯ; ;UNJA
АРН;Александровское; ;ТЯ; ;UNSA
АЛХ;Александровск-Сахалинский; ;СЯ; ;UHSA
АЛЕ;Алексеевка [УГЦ]; ;БГ; ; 
АИК;Алискерово; ;ЧА; ; 
АХЮ;Аллах-Юнь; ;СФ; ; 
ААЙ;Алтай; ;ТЮ; ; 
АТЛ;Алтат; ;КЯ; ; 
АЛЖ;Алыгджер; ;ИР; ; 
АМГ;Амга; ;СФ; ; 
АМУ;Амгу; ;ПР; ; 
АМД;Амдерма;Amderma;АГ;AMV;ULDD
АДЕ;Амдерма-2; ;АГ; ;ULDA
АУР;Амурзет; ;ХБ; ; 
АНБ;Анабар; ;СФ; ; 
АНЫ;Анадырь;Anadyr;ЧА;DYR;UHMA
ОЖН;Анадырь-Окружной; ;ЧА; ; 
АНА;Анапа;Anapa;КД;AAQ;URKA
АГС;Ангарск; ;ИР; ; 
АНГ;Ангарский; ;КЯ; ; 
АДР;Андрюшино; ;СД; ; 
АДШ;Андрюшкино; ;СФ; ;UESA
АЖС;Анжеро-Судженск; ;КЗ; ; 
АНФ;Аносово; ;ИР; ; 
АПЮ;Антипаюта; ;ТЮ; ;USDI
АПО;Антипино; ;ТЮ; ; 
АЮЙ;Анюйск; ;ЧА; ; 
АПХ;Апатиты; ;МУ; ;ULMK
АПУ;Апука; ;КЧ; ; 
АПШ;Апшеронск; ;КД; ; 
АРД;Ардатов; ;МД; ; 
АРМ;Арзамас; ;НЖ; ; 
ААД;Арка; ;ХБ; ; 
АДА;Аркадак; ;СГ; ; 
АРВ;Армавир; ;КД; ;URKR
АМЗ;Армизонское; ;ТЮ; ; 
АРШ;Аромашево; ;ТЮ; ; 
АРС;Арсеньев; ;ПР; ;UHWA
АРК;Артемовский; ;СД; ;USSA
АРТ;Арти; ;СД; ; 
АРЮ;Артюгино; ;КЯ; ; 
АРХ;Архангельск;Arkhangelsk;АГ;ARH; 
АРР;Архара; ;АУ; ;UHBA
АСК;Аскино; ;БШ; ; 
АСР;Астрахань;Astrakhan;АБ;ASF;URWA
АЛН;Аталанка; ;ИР; ; 
АТЯ;Атняш; ;БШ; ; 
АФС;Афанасьево; ;КП; ;USPA
АХЯ;Ахманка; ;ТЮ; ; 
АХЫ;Ахты; ;ДГ; ; 
АЧВ;Ачайваям; ;КЧ; ;UHPJ
АЧН;Ачинск;Achinsk;КЯ;ACS;UNKS
АЧИ;Ачиры; ;ТЮ; ; 
АЯН;Аян; ;ХБ; ;UHNA
АЯК;Аянка; ;КЧ; ;УХНЯ
БГН;Баган; ;НБ; ; 
БГД;Багдарин; ;БР; ;UIUB
БАХ;Багланиха; ;КЯ; ; 
БМТ;Базарные Матаки; ;ТГ; ;UWKH
БЗР;Базарный Карабулак; ;СГ; ; 
БАЖ;Байкалово; ;СД; ; 
БЙО;Байкалово [ТЮМ]; ;ТЮ; ;USTB
БЛС;Байкальск; ;ИР; ; 
БКТ;Байкит; ;КЯ; ;UNIB
БАЙ;Байково; ;СЯ; ; 
БАМ;Баймак; ;БШ; ; 
БКЫ;Бакалы; ;БШ; ; 
БАУ;Бакуры; ;СГ; ; 
БКЧ;Бакчар; ;ТЯ; ; 
БНН;Балаганное; ;МГ; ; 
БАЛ;Балаганск; ;ИР; ; 
БАО;Балаково;Balakovo;СГ;BWO;UWSB
БХТ;Балахта; ;КЯ; ; 
БЛШ;Балашов; ;СГ; ;UWSW
БАЕ;Балей; ;ЧТ; ; 
БАЫ;Балыкса; ;ХЯ; ; 
БЛЧ;Балыкча; ;АЙ; ; 
БАР;Барабинск; ;НБ; ;UNRR
БРА;Бараниха; ;ЧА; ;UHMB
БРГ;Баргузин; ;БР; ; 
БАН;Барнаул;Barnaul;АЛ;BAX;UNBB
БЫШ;Барыш; ;УЛ; ; 
БТГ;Батагай; ;СФ; ;UEBB
БТВ;Батово; ;ТЮ; ; 
БТР;Батурино; ;ТЯ; ; 
БХА;Бахта; ;КЯ; ;UNHB
БЕБ;Бедоба; ;КЯ; ; 
БЕЖ;Бежаницы; ;ПС; ; 
БЖТ;Бежта; ;ДГ; ; 
БЕМ;Безымянка; ;КЯ; ; 
БЕО;Беково; ;ПЗ; ; 
БАЯ;Белая; ;ИР; ;UIIB
БЯГ;Белая Гора; ;СФ; ;UESG
БКА;Белая Калитва; ;РД; ;URRA
БЕД;Белгород;Belgorod;БГ;EGO;UUOB
БЛО;Белогорск; ;АУ; ; 
БЕС;Белозерск; ;ВЯ; ;ULWB
БИХ;Белокуриха; ;АЛ; ; 
БЕЦ;Белорецк;Beloreck;БШ;BCX;UWUB
БЛР;Белоярский; ;ТЮ; ;УСХЯ
БЛЕ;Белушье; ;АГ; ;ULEB
БЛЫ;Белый; ;ТИ; ; 
БЕЛ;Белый Яр; ;ТЯ; ;УНЛЯ
БЕЧ;Белькачи; ;СФ; ; 
БЛИ;Беляки; ;КЯ; ; 
БЕГ;Берегаево; ;ТЯ; ; 
БОЙ;Береговой; ;АУ; ; 
БРЗ;Березник; ;АГ; ;ULAB
БЗК;Березники; ;ПМ; ;USPT
БЗА;Березовка; ;ТЯ; ;УНЯЕ
БЕР;Березово; ;ТЮ; ;USHB
БНГ;Беринговский; ;ЧА; ;UHMR
БТЖ;Бестужево; ;АГ; ; 
БСК;Бийск; ;АЛ; ;UNBI
БИБ;Билибино; ;ЧА; ; 
БИЛ;Биллингс; ;ЧА; ; 
БЯР;Билярск; ;ТГ; ; 
БРЖ;Биробиджан; ;ЕИ; ;UHHB
БИК;Бирючья Коса; ;АБ; ; 
БТК;Битки; ;НБ; ; 
БЧР;Бичура; ;БР; ; 
БГЩ;Благовещенск;Blagoveschensk;АУ;BQS;UHBB
БЛЩ;Благовещенское; ;АГ; ; 
БЛН;Благодарный; ;СП; ; 
БГЕ;Богдановское; ;ЧЛ; ; 
БОГ;Богородск; ;НЖ; ; 
БГР;Богородское; ;ХБ; ;UHNB
БОЧ;Богучаны; ;КЯ; ;UNKB
БГЧ;Богучар; ;ВЖ; ; 
БДБ;Бодайбо; ;ИР; ;UIKB
БКЯ;Боковский; ;РД; ; 
БОЛ;Болгар; ;ТГ; ;UWKT
БХО;Болхов; ;ОЛ; ; 
БЧЫ;Болчары; ;ТЮ; ; 
БШЫ;Большая Мартыновка; ;РД; ; 
БМР;Большая Мурта; ;КЯ; ;UNKA
БПЧ;Большая Пучкома; ;КИ; ; 
БЛУ;Большеустьикинск; ;БШ; ; 
БШТ;Большие Тарханы; ;ТГ; ; 
БШУ;Большие Уки; ;ОЯ; ; 
БЛБ;Большое Болдино; ;НЖ; ;UWGB
БШХ;Большое Тархово; ;ТЮ; ; 
БОА;Большой Атлым; ;ТЮ; ; 
БОК;Большой Ларьяк; ;ТЮ; ; 
БМН;Бомнак; ;АУ; ; 
БОЗ;Борзя; ;ЧТ; ;UIAB
БРК;Борисоглебск; ;ВЖ; ; 
БОР;Боровичи; ;НГ; ;ULNB
БОЦ;Борогонцы; ;СФ; ; 
БРО;Борок; ;АГ; ; 
БОТ;Ботлих; ;ДГ; ; 
БРС;Братск;Bratsk;ИР;BTK;UIBB
БДЫ;Бреды; ;ЧЛ; ; 
БРЙ;Брейтово; ;ЯР; ;UUMJ
БРР;Бриакан; ;ХБ; ; 
БКЛ;Брыкаланск; ;КИ; ; 
БРЯ;Брянск;Briansk;БН;BZK;UUBP
БУЕ;Бугаево; ;КИ; ; 
БУГ;Бугульма;Bugulma;ТГ;UUA;UWKB
БУУ;Бугуруслан; ;ОБ; ; 
БДН;Буденовск; ;СП; ; 
БУН;Буинск; ;ТГ; ; 
БУЬ;Бур; ;ИР; ; 
БРЧ;Бургахчан; ;ЧА; ; 
БУР;Буревестник; ;СЯ; ;UHSB
БУЫ;Бурный; ;КЯ; ;UNJB
ПРД;Бухта Провидения;Provideniya;ЧА;PVS;UHMD
БЫЛ;Былино; ;ТЮ; ; 
БЫС;Быстрый; ;ЧА; ; 
БЫЧ;Бычье; ;АГ; ; 
ВАГ;Вагай; ;ТЮ; ; 
ВГИ;Ваеги; ;ЧА; ; 
ВАЖ;Важгорт; ;КИ; ; 
ВАЛ;Вал; ;СЯ; ; 
ВЛЙ;Валуйки; ;БГ; ;UUOW
ВМП;Вампугольск; ;ТЮ; ; 
ВРЯ;Ванавара; ;КЯ; ;UNIW
ВЗТ;Ванзеват; ;ТЮ; ; 
ВЗУ;Ванзетур; ;ТЮ; ; 
ВРЧ;Ванкарем; ;ЧА; ; 
ВРЙ;Варандей; ;АГ; ;ULDW
ВРИ;Варнавино; ;НЖ; ;UWGW
ВЬМ;Васильевский Мох; ;ТИ; ; 
ВИС;Васисс; ;ОЯ; ; 
ВМЙ;Ваховск; ;ТЮ; ; 
ВАЧ;Вачи; ;ДГ; ; 
ВЕЙ;Вейделевка; ;БГ; ; 
ВЕК;Великие Луки;Velikiye Luki;ПС;VLU;ULOL
НРД;Великий Новгород;Velikij Novgorod;НГ;NVR;ULNN
ВЕУ;Великий Устюг;Velikij Ustyug;ВЯ;VUS;ULWU
ВКЧ;Великовисочное; ;НЕ; ; 
ВСК;Вельск; ;АГ; ;ULKW
ВЩГ;Верещагино; ;КЯ; ;UOTW
ВТИ;Вертикос; ;ТЯ; ; 
ВХВ;Верхневилюйск; ;СФ; ;UENI
ВХИ;Верхнеимбатское; ;КЯ; ;UNIL
ВМУ;Верхне-Марково; ;ИР; ; 
ВРХ;Верхнеуральск; ;ЧЛ; ; 
ВЛР;Верхний Ландех; ;ИВ; ; 
ВХП;Верхний Парень; ;МГ; ; 
ВХГ;Верхняя Гутара; ;ИР; ; 
ВЕЗ;Верхняя Золотица; ;АГ; ;ULBW
ВНЯ;Верхняя Кема; ;ВЯ; ; 
ВЯК;Верхняя Колва; ;ПМ; ; 
ВСД;Верхняя Салда; ; ; ; 
ВЕТ;Верхняя Тойма; ;АГ; ;ULKT
ВХЬ;Верховье; ;АГ; ; 
ВТР;Верхотурье; ;СД; ; 
ВХЯ;Верхоянск; ;СФ; ;UEBW
ВЕД;Вершино-Дарасунский; ;ЧТ; ; 
ВСЫ;Веселый; ;ВГ; ; 
ВНИ;Весенний; ;ЧА; ; 
ВЕГ;Весьегонск; ;ТИ; ; 
ВЛГ;Ветлуга; ;НЖ; ; 
ВШН;Вешенская; ;РД; ;URRW
ВИА;Виахту; ;СЯ; ; 
ВИЖ;Вижас; ;АГ; ;ULJI
ВИЗ;Визирный; ;ИР; ; 
ВКЛ;Викулово; ;ТЮ; ; 
ВИК;Вилюйск; ;СФ; ;UENW
ВИМ;Витим; ;СФ; ;UERT
ВВО;Владивосток;Vladivostok;ПР;VVO;UHWW
ВЛА;Владикавказ;Vladikavkaz;СИ;OGZ;URMO
ВЛМ;Владимир; ;ВЛ; ;UUBL
ВЛЧ;Владычное; ;ЯР; ; 
ВОЖ;Вожгора; ;АГ; ;ULJW
ВОЗ;Вознесенское; ;НЖ; ; 
ВГГ;Волгоград;Volgograd;ВГ;VOG;URWW
ВЛД;Волгодонск;Volgodonsk;РД;VLK;УРРЯ
ВЛЖ;Волжский; ;ВГ; ; 
